fold,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1
1,0.2941352128982544,0.9459824442943957,0.8780103896103897,0.9105748397580573,0.8932304808593469
2,0.2318713366985321,0.9412162162162162,0.8710787444202036,0.912950937950938,0.8901664137491587
3,0.2045728713274002,0.9547297297297297,0.9041642567958358,0.9284022756571941,0.9157054314571076
4,0.26045525074005127,0.9587837837837838,0.9154418288015238,0.9202121425222691,0.9178058495504723
5,0.2854490876197815,0.9472972972972973,0.8814223730186157,0.9113458490658375,0.8954949865838158
